자치구,인구,세대수,성비,년도,면적,가구수,one,출생건수,사망건수,혼인건수,이혼건수,인력수,차량수,1인세대수,면적대비1인세대,외국인비율,인구밀도,세대당인구,출생률,사망률,혼인률,이혼률,one비율,인구대비one,면적대비one
중구,125725,61502,0.97,2018,9.96,53102,20803,733.0,710.0,778.0,259.0,0,0,29832.0,2995.180722891566,0.0968864509374562,12622.991967871485,2.0442424636597183,5.830184927420959,5.6472459733545435,6.188108967985683,2.060051700139193,0.39175548943542615,0.16546430701928813,2088.6546184738954
용산구,228999,108974,0.93,2018,21.87,92500,34240,1377.0,1203.0,1400.0,391.0,166,72,50818.0,2323.639689071788,0.085034069117467,10470.919067215364,2.1014095105254462,6.013126694876397,5.25329804933646,6.113563814689147,1.7074310368167547,0.3701621621621622,0.1495203035821117,1565.6149977137632
성동구,308221,137209,0.96,2018,16.86,123963,40706,2346.0,1383.0,2000.0,550.0,0,0,54940.0,3258.6002372479243,0.0428328114187124,18281.19810201661,2.246361390287809,7.611421674707434,4.48704014327382,6.488850532572408,1.784433896457412,0.3283721755685164,0.1320675748894462,2414.3534994068805
광진구,355559,162606,0.95,2018,17.06,148735,56337,2197.0,1512.0,2164.0,613.0,0,0,70605.0,4138.62837045721,0.0607821313361881,20841.676436107857,2.1866290296791018,6.179002640911916,4.252458804305333,6.086191040024299,1.7240457983063289,0.3787743301845564,0.15844627755168622,3302.2860492379837
동대문구,348052,161820,0.99,2018,14.22,146974,55593,1886.0,1895.0,1747.0,660.0,144,90,72616.0,5106.61040787623,0.0612563059576547,24476.230661040787,2.150858979112594,5.41873053451783,5.4445887396136206,5.019364922482847,1.8962683736912873,0.37825057493162056,0.1597261328766966,3909.493670886076
중랑구,403209,180511,0.99,2018,18.5,159444,49207,2446.0,2178.0,2253.0,916.0,159,63,72086.0,3896.540540540541,0.0223742916155208,21795.08108108108,2.2337087490513046,6.066332844752969,5.401665141403094,5.58767289420623,2.271774687568978,0.3086161912646446,0.12203844656245272,2659.837837837838
성북구,435868,186601,0.95,2018,24.57,171943,55136,2264.0,2215.0,1919.0,757.0,106,77,71004.0,2888.6899918633035,0.0374659081009723,17739.84533984534,2.335828854079024,5.194233116448099,5.081813760129213,4.4027090770600275,1.7367643414978846,0.3206644062276452,0.12649701285710352,2244.037444037444
강북구,319164,143395,0.96,2018,23.6,127551,40872,1344.0,1960.0,1344.0,710.0,102,59,57388.0,2431.694915254237,0.0217239830915256,13523.898305084746,2.2257679835419646,4.211001240741437,6.141043476081262,4.211001240741437,2.2245616673559674,0.320436531269845,0.1280595555889762,1731.8644067796608
도봉구,339413,138087,0.96,2018,20.67,126286,30848,1707.0,1901.0,1471.0,724.0,78,54,43182.0,2091.1380145278454,0.0133470316026096,16420.56119980648,2.4579649061823345,5.029271123969912,5.600846166764384,4.333953030673545,2.1330944896041104,0.2442709405634829,0.09088632433053537,1492.404450895017
노원구,543752,217655,0.94,2018,35.44,202326,51280,2851.0,2896.0,2240.0,887.0,82,45,67527.0,1905.3893905191876,0.0140415207238762,15342.889390519189,2.4982288484068826,5.243199105474555,5.325957421765805,4.119525077608911,1.631258367785314,0.2534523491790477,0.09430769909811826,1446.9525959367948
은평구,483197,205001,0.94,2018,29.71,181338,48888,2703.0,2504.0,2364.0,925.0,142,80,73517.0,2474.486704813194,0.0182399429117469,16263.783237967014,2.3570470387949327,5.593991684551022,5.1821513792511125,4.892414481050172,1.9143330773990732,0.2695960030440393,0.10117612485176854,1645.506563446651
서대문구,310313,138549,0.93,2018,17.62,127197,44795,1647.0,1669.0,1393.0,526.0,0,0,57194.0,3244.1293250141807,0.0497245264330815,17611.407491486945,2.239734678705729,5.307544318156184,5.378440477840116,4.48901592907806,1.6950627269885568,0.352170255587789,0.14435424877462433,2542.281498297389
마포구,375077,172505,0.91,2018,23.85,154940,56837,2528.0,1612.0,2229.0,560.0,160,33,75480.0,3164.779874213836,0.0381665756459665,15726.49895178197,2.174296397205878,6.739949397057138,4.297784188313333,5.942779749224826,1.4930267651708848,0.36683232218923456,0.15153421830717426,2383.1027253668763
양천구,464185,176498,0.97,2018,17.41,162039,34304,2387.0,1842.0,1957.0,743.0,108,68,48615.0,2792.360712234348,0.0179816082623973,26661.97587593337,2.6299731441716054,5.1423462628047005,3.9682454193909757,4.215991468918642,1.6006549112961428,0.21170212109430445,0.07390156941736592,1970.3618609994255
강서구,596949,258503,0.95,2018,41.44,235754,73011,4260.0,2759.0,3835.0,1068.0,122,62,97429.0,2350.518697225573,0.0218551351781196,14405.139961389963,2.3092536643675317,7.1362880246051175,4.62183536617031,6.424334407126907,1.7890975610981843,0.30969145804525056,0.12230693074282728,1761.8484555984558
구로구,404497,172457,0.98,2018,20.12,156235,44151,2658.0,1922.0,2286.0,741.0,110,63,62904.0,3126.441351888668,0.1233539953385056,20104.224652087472,2.345494818998359,6.571124136891003,4.7515803578271285,5.651463422472848,1.8319048101716453,0.282593528978782,0.10915037688783848,2194.383697813121
금천구,233917,107971,1.03,2018,13.02,96298,34564,1314.0,1133.0,1269.0,539.0,84,36,46842.0,3597.695852534562,0.1281626322233201,17965.975422427036,2.166479888118106,5.617377103844526,4.843598370362137,5.425001175630673,2.304236117939269,0.3589274958981495,0.1477618129507475,2654.68509984639
영등포구,367778,171085,0.99,2018,24.55,149831,53477,2698.0,1659.0,2664.0,632.0,142,91,76795.0,3128.1059063136454,0.1399479682854311,14980.773930753563,2.1496799836338663,7.335947229034907,4.510873407327246,7.2435001549848,1.7184279646960938,0.35691545808277325,0.1454056523228687,2178.2892057026475
동작구,396203,177176,0.95,2018,16.35,161495,56872,2417.0,1720.0,2097.0,562.0,0,0,73426.0,4488.1418092909535,0.048780487804878,24232.599388379203,2.2362114507608255,6.100408124118192,4.341208925727468,5.292741347238663,1.4184647768946728,0.35215950958234,0.14354257792091427,3478.409785932721
관악구,501957,262222,1.01,2018,29.57,236761,112733,2582.0,2179.0,3090.0,856.0,104,55,142742.0,4827.257355427799,0.0582012922082916,16975.211362867773,1.9142444188512024,5.143866904934088,4.341009289640348,6.155905784758455,1.705325356554446,0.47614683161500415,0.224586966612678,3812.411227595536
서초구,433951,172918,0.92,2018,46.98,155418,41137,2919.0,1435.0,2234.0,587.0,0,0,57213.0,1217.816091954023,0.0198830115733186,9236.93060876969,2.5095767936247237,6.726565902601906,3.3068249641088507,5.148046668863535,1.352687284969962,0.2646862010835296,0.09479641710700056,875.6279267773522
강남구,542364,228775,0.92,2018,39.5,203083,62727,2940.0,1796.0,2519.0,758.0,535,81,88584.0,2242.6329113924053,0.0193733525983052,13730.73417721519,2.3707310676428808,5.420713764187888,3.3114292246535535,4.644482303397718,1.3975853854606868,0.30887371173362616,0.1156548000973516,1588.0253164556962
송파구,666635,270866,0.94,2018,33.87,243547,63451,4567.0,2334.0,3705.0,1010.0,188,118,90734.0,2678.099173553718,0.0194682460612881,19682.167109536465,2.461124688960593,6.850825414207175,3.5011663053995066,5.557763993789705,1.5150719659183811,0.2605287685744435,0.09518102109850218,1873.3687629170358
강동구,427573,177247,0.98,2018,24.59,159233,42126,2659.0,1905.0,2371.0,722.0,109,58,61564.0,2503.619357462383,0.020290794591591,17388.08458723058,2.4123003492301702,6.218821113587621,4.455379549223173,5.54525192189404,1.688600543065161,0.26455571395376587,0.09852352697668,1713.1354209028061
종로구,151290,73947,0.95,2019,23.91,62652,24671,673.0,854.0,590.0,260.0,124,85,36716.0,1535.5918025930573,0.0876943701388159,6327.478042659975,2.0459247839668953,4.448410337761914,5.644788155198626,3.899795095511931,1.7185537709035628,0.3937783310987678,0.16307092339216075,1031.827687160184
중구,126171,62739,0.96,2019,9.96,54496,22078,783.0,665.0,722.0,230.0,0,0,31069.0,3119.3775100401604,0.1010784830900885,12667.771084337348,2.011045761009898,6.205863471003638,5.270624786995427,5.722392625880749,1.8229228586600723,0.40513065179095714,0.17498474292824817,2216.6666666666665
