년도,자치구,점포수,연도별_평균_상권_매출금액,연도별_주중_평균_상권_매출금액,연도별_주말_평균_상권_매출금액,연도별_월요일_평균_상권_매출금액,연도별_화요일_평균_상권_매출금액,연도별_수요일_평균_상권_매출금액,연도별_목요일_평균_상권_매출금액,연도별_금요일_평균_상권_매출금액,연도별_토요일_평균_상권_매출금액,연도별_일요일_평균_상권_매출금액,연도별_00_06_시간대_평균_상권_매출금액,연도별_06_11_시간대_평균_상권_매출금액,연도별_11_14_시간대_평균_상권_매출금액,연도별_14_17_시간대_평균_상권_매출금액,연도별_17_21_시간대_평균_상권_매출금액,연도별_21_24_시간대_평균_상권_매출금액,연도별_남성_평균_상권_매출금액,연도별_여성_평균_상권_매출금액,연도별_10대_평균_상권_매출금액,연도별_20대_평균_상권_매출금액,연도별_30대_평균_상권_매출금액,연도별_40대_평균_상권_매출금액,연도별_50대_평균_상권_매출금액,연도별_60대이상_평균_상권_매출금액
2018,성동구,24529,64364263.162227415,65447465.9645233,50910444.03055044,63896879.04082697,54452677.69492404,57717896.864225455,58449999.64911238,61078949.9392313,49982028.498795725,57417944.41724624,48155375.672102965,0.0,54405833.0671459,54263784.729207344,53918543.85445471,72333636.53724335,56294419.36344922,54843227.6817622,20848528.423335854,33643014.6946549,47081894.43969149,55679493.010501765,55449124.75577299,59035111.95064216
2018,성북구,28029,77738543.00317463,76851921.60792498,61282223.550142236,60328277.38400703,65991345.378645875,59648325.48096521,66304032.55345876,70616781.80352245,57757112.077239044,57873454.27292628,0.0,57134942.40841689,63850242.90117928,64688314.81123575,66616178.20154023,61947193.99604756,77056793.2905105,62485125.521093816,28143339.92868366,40723604.47163923,67788283.89783429,69899275.92273718,58797544.62038088,66484094.93373642
2018,송파구,49296,105548815.6963819,109229853.4148598,70975582.8056548,87253603.37955835,87559438.8910204,94246578.96202348,102696491.62802552,88469175.6252952,71436085.29376233,63137693.85212119,89224479.51766011,91918027.7088374,67063464.240093306,80734719.80688113,92809680.39204036,87941779.03240646,81928323.61790606,84206918.60470477,31082491.86054614,49549516.71214544,69470882.32150027,79768440.31454447,75286849.0745304,80102850.3446307
2018,양천구,25375,60491019.29675242,59902440.3626001,52717701.88220633,49017571.3521242,54985734.43962665,53802124.8421947,52053136.6330077,53519656.30254446,53035742.0650134,43285294.41386384,45324693.654593974,0.0,51816040.695484474,48714815.26704177,47361644.0939303,54777830.83786582,59340915.300912306,47374425.125501275,0.0,38131035.70980119,44423369.185644336,53792554.434245564,58018295.90535141,50388454.811045796
2018,영등포구,44285,96838958.79891224,96273531.0391292,78402334.17475455,81019420.10258403,86808899.52365161,90083173.80371784,83677149.03397761,84098261.52224872,78211036.80473755,70235237.20297891,0.0,0.0,73573967.33540732,84108924.26052275,86386282.16569762,84886745.68634064,81365792.59150697,85817073.84255596,29579708.818325873,53566635.26364416,65710376.21389207,88794301.72592047,83369452.57415341,85352011.50463685
2018,용산구,35224,70538509.20838831,72998822.15832286,57672592.00822599,60886491.13597374,63412465.67317916,62488348.79159979,61215478.12152464,62536236.95779936,58928659.1091604,52258296.90004625,0.0,0.0,52408047.08220759,52302148.97299747,65536647.2276336,96695830.62787612,64223031.98216031,52628658.610779464,26030378.506627254,39144755.403137155,50168041.64062802,63301431.872941576,64334516.972013354,60925620.932348184
2018,은평구,26509,83917579.57178763,83901772.01451124,68042770.42862101,74685412.5496595,80418234.59992236,72138025.19821574,71124083.46395585,80157735.07194321,65430547.20999666,61475703.119186066,58023674.356993444,68104450.25339642,71417607.90112367,63667979.07201438,0.0,62541864.819345646,72170779.79704385,72841566.75911297,29008650.167235885,46855270.077574216,61471629.776728705,69792968.47516543,71610345.60077551,74528615.59554958
2018,종로구,55405,69014669.87644458,69038124.90411198,65736659.69993875,61482935.52428522,64841917.7772298,65607858.324926056,66372078.39859965,68315954.18112975,63921509.18303631,53348109.221888736,65592341.77365723,57611327.37336949,55386877.20139815,57397268.827787995,65987634.527003914,0.0,60722160.48056461,55405897.968266495,0.0,38074124.35016108,56436917.68993313,53759013.76575918,63493078.07103536,64222299.92114398
2018,중구,57380,84737519.31333378,0.0,0.0,0.0,0.0,0.0,70234932.39735898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65357861.288307354,62334670.554134354,25947087.184690155,0.0,0.0,0.0,73456771.21943201,0.0
2018,중랑구,26217,57934513.02245075,56259614.930904515,52647118.04466969,53168428.33350465,50978932.63589208,53177053.905007735,51021950.11389683,57352867.123519436,53432962.68030846,48422869.00433912,0.0,43926418.17942286,45911355.717154905,53470502.47561812,52101010.53720569,50395084.9381678,50107500.47702104,51373750.72870993,0.0,39769602.88760138,45995402.409446746,51910152.28120794,53096243.77458904,52419051.91402417
